Bytes,L1 Misses, L2 Misses, L3 Misses, Total Instructions, Time (s);
4000000,1186163166,21007185,2273889,51009011810,5.938760;
4000000,1186990809,31146508,2959685,51009011801,5.997409;
4000000,1188292800,18293428,2280009,51009011802,6.009975;
4000000,1185849751,13838956,2370810,51009011778,5.911602;
4000000,1186583662,18978364,2324430,51009011789,5.963159;
4000000,1187534286,29014977,2533461,51009011788,5.948205;
4000000,1188466260,19759270,2441353,51009011790,5.957327;
4000000,1187837759,15773163,2211251,51009011784,5.936379;
