Bytes,L1 Misses, L2 Misses, L3 Misses, Total Instructions, Time (s);
1440000,210799995,2792903,39865,11019246979,1.101397;
1440000,210823876,2767724,18886,11019246970,1.093882;
1440000,210061219,2897527,42504,11019247028,1.101017;
1440000,210418357,2851019,43120,11019247003,1.099353;
1440000,211246131,2783435,32787,11019246981,1.105485;
1440000,210726059,2800465,55577,11019246969,1.093294;
1440000,211233724,2758918,13989,11019246979,1.101056;
1440000,210695142,2708627,13779,11019247006,1.209749;
