Bytes,L1 Misses, L2 Misses, L3 Misses, Total Instructions, Time (s);
1440000,210869980,2950290,73229,11019247041,1.108492;
1440000,210884323,3243326,542496,11019247004,1.150917;
1440000,210023967,2907927,178991,11019246975,1.112502;
1440000,209994599,2806574,52111,11019246970,1.095272;
1440000,217047944,2599042,90463,11019246974,1.106317;
1440000,212827840,2779187,204788,11019246976,1.111110;
1440000,216461170,2625475,49488,11019246973,1.109172;
1440000,221517777,2439995,47427,11019246971,1.100460;
