Bytes,L1 Misses, L2 Misses, L3 Misses, Total Instructions, Time (s);
1440000,211706808,13962475,83513,11019246995,1.189748;
1440000,211930546,14015451,30871,11019246992,1.183129;
1440000,211691480,13977519,39014,11019246990,1.169314;
1440000,212169152,14091764,43966,11019247006,1.240964;
1440000,231404562,13920664,30101,11019246990,1.177524;
1440000,221056036,14013124,30617,11019246995,1.191795;
1440000,218410560,13932393,30513,11019246994,1.191812;
1440000,211714311,13952713,32771,11019247031,1.337573;
