Bytes,L1 Misses, L2 Misses, L3 Misses, Total Instructions, Time (s);
4000000,1186331331,14411672,2099525,51009011809,6.046592;
4000000,1191875463,14499864,2023849,51009011776,5.904199;
4000000,1196379820,22186440,1729972,51009011826,6.104941;
4000000,1187454063,15797029,1892475,51009011794,5.976883;
4000000,1194053914,18628231,1850982,51009011783,5.928973;
4000000,1186186782,24961533,2481282,51009011794,5.980640;
4000000,1192979074,18677611,1757915,51009011780,5.921946;
4000000,1196476494,22014044,1864211,51009011779,5.921714;
