Bytes,L1 Misses, L2 Misses, L3 Misses, Total Instructions, Time (s);
57600,42455,12073,120,88259977,0.007782;
57600,45397,25647,40,88259978,0.007548;
57600,41401,3344,27,88259978,0.007266;
57600,42739,4751,22,88259978,0.007425;
57600,132056,1746,3,88259978,0.007202;
57600,133368,683,0,88259978,0.007198;
57600,133078,644,1,88259978,0.007202;
57600,42768,767,1,88259977,0.007143;
