Bytes,L1 Misses, L2 Misses, L3 Misses, Total Instructions, Time (s);
4000000,1184698314,38912174,2740067,51009011800,6.003783;
4000000,1193495859,19319294,2342684,51009011781,5.928221;
4000000,1187508143,40551557,2036235,51009011801,6.004359;
4000000,1192069050,25454709,2367718,51009011793,5.976967;
4000000,1192176531,26115332,1878927,51009011914,6.450913;
4000000,1198945647,22230000,2131001,51009011799,5.997411;
4000000,1188543427,26740527,2417927,51009011809,6.034355;
4000000,1199790447,33031019,2528467,51009011792,5.974664;
