Bytes,L1 Misses, L2 Misses, L3 Misses, Total Instructions, Time (s);
4000000,1190127533,66819500,6680144,51009011969,6.675589;
4000000,1190377420,72395850,8101102,51009011990,6.753271;
4000000,1190106062,71441139,7527205,51009011984,6.735057;
4000000,1189916707,94055555,5242661,51009011954,6.618086;
4000000,1191517948,75973237,4825182,51009012043,6.957498;
4000000,1191300653,68328753,5191279,51009011921,6.481201;
4000000,1112265005,68717714,5696516,51009011822,6.048316;
4000000,1189779739,68986894,5637240,51009011941,6.566557;
