Bytes,L1 Misses, L2 Misses, L3 Misses, Total Instructions, Time (s);
1440000,209663772,2448892,36960,11019246972,1.106889;
1440000,210684316,2401969,14088,11019246970,1.093797;
1440000,215890932,2321511,19000,11019246973,1.101888;
1440000,218923685,2235109,15650,11019246970,1.099071;
1440000,213906935,2340594,24892,11019246974,1.110595;
1440000,225111319,2111544,37150,11019246975,1.103810;
1440000,217588279,2175035,22634,11019247027,1.316074;
1440000,213506468,2362593,26286,11019246974,1.105267;
